# utc: 2026-08-25T07:26:45.015Z
# producer: ox-alpha CP-01 oracle

G0: TRUE  session-start verified
G0.1: FALSE  SOW git bodies differ
G0.2: FALSE  1 problems: utc: 2026-08-25T07:24:34.7375942Z missing
G1: FALSE  docs/CP-MAP-01.md absent
G2: FALSE  absent map
G3: FALSE  absent map
G3.1: FALSE  ledger key "8a" absent
G4: FALSE  8b/cold-start.txt absent
G5: FALSE  dom:False h9:False
G6: FALSE  kind=process_window rd:False stop:False
G7: FALSE  h18 absent; test_failure_classes: 8b/test_failure_classes-fails-before.txt absent; test_port_conflict_is_its_own_class: 8b/test_port_conflict_is_its_own_class-fails-before.txt absent
G7.1: FALSE  artifact:False proof:8b/test_browser_handle_map-fails-before.txt absent
G7.2: FALSE  ledger:ledger key "8b" absent suite:Ran 122 OK lc:False
G8: FALSE  artifact:False proof:8c/test_new_session_spawns_no_process-fails-before.txt absent
G9: FALSE  selection-flow absent/incomplete
G10: FALSE  proof:8c/test_governed_replacement-fails-before.txt absent hits:['modules\\sow\\apps\\desktop\\picker\\worker-spawn.js', 'modules\\sow\\apps\\desktop\\selfcheck\\worker-spawn-selfcheck.js', 'modules\\sow\\docs\\evidence\\PHASE17B_SPAWN_EVIDENCE_REPORT.md']
G11: FALSE  powershell-not-default.txt absent
G11.1: FALSE  ledger:ledger key "8c" absent suite:False lc:False
G12: FALSE  8d/conductor-dom.txt absent
G13: FALSE  conductor-roundtrip.txt absent
G13.1: FALSE  ledger key "8d" absent
G14: FALSE  worker-registry.json absent; test:False
G15: FALSE  directive-delivery absent/no session_id
G16: FALSE  wf:False syn:False owed:['modules\\sow\\control_plane\\orchestration\\conductor_dispatch.py', 'modules\\sow\\apps\\desktop\\conductor\\dispatch-source.js']
G16.1: FALSE  ledger key "8e" absent
G17: FALSE  opencode-detect.txt absent
G18: FALSE  no detect artifact
G19: FALSE  no detect artifact
G19.1: FALSE  artifact:False rows:[]
G19.2: FALSE  ledger key "8f" absent
G20: FALSE  dump:False audit:False
G21: FALSE  8g/test_incompatible_selection_refused-fails-before.txt absent
G22: FALSE  discovery.txt absent/no ollama source
G22.0: FALSE  grok-status.txt absent
G22.1: FALSE  ledger key "8g" absent
G23: FALSE  prov:False baseline:False
G24: FALSE  adapter incomplete; start:False stop:False
G25: FALSE  distillery-dom.txt absent
G25.1: FALSE  artifact:False proof:8h/test_start_invokes_no_pipeline-fails-before.txt absent
G25.2: FALSE  ledger key "8h" absent
G26: FALSE  prov:False baseline:False c7:8i/test_tokencenter_loopback_and_csrf-fails-before.txt absent
G27: FALSE  tokencenter.json absent; start:False stop:False
G28: FALSE  dom:False themes:[] central:False
G29: FALSE  h19-tokencenter-contract.txt absent
G29.1: FALSE  no-credentials.txt absent
G29.2: FALSE  ledger key "8i" absent
G30: FALSE  missing: state-after-coldstart.json,stepB-debate.txt,stepC-workspace.txt,stepD-conductor.txt,stepE-opencode.txt,stepF-models.txt,stepG-distillery.txt,stepH-tokencenter.txt
G31: FALSE  proof-chain absent
G32: FALSE  protected-manifest clean artifact incomplete; fs-watch events!=0/absent
G33: FALSE  linecount.txt absent
G34: FALSE  busy:none oc:False
G35: FALSE  ledger key "8j" absent
G36: FALSE  docs/CP-01-REPORT.md absent

summary: 1/53 TRUE
